Time,X,Y,Theta,Operation
0,90.0,0.0,1.5707963267948966,straight
8.120337316562313,90.0,8.120337316562312,1.5707963267948966,straight
16.240674633124627,90.0,16.240674633124627,1.5707963267948966,straight
24.36101194968694,90.0,24.361011949686908,1.5707963267948966,straight
32.481349266249254,90.0,32.4813492662492,1.5707963267948966,straight
40.60168658281157,90.0,40.60168658281148,1.5707963267948966,left
48.72202389937388,83.2329856296369,43.36870095321774,3.1415926535897927,straight
56.842361215936194,75.11264831307449,43.36870095321774,3.1415926535897927,straight
64.96269853249851,66.99231099651207,43.36870095321774,3.1415926535897927,straight
73.08303584906082,58.87197367994975,43.36870095321774,3.1415926535897927,straight
81.20337316562313,50.75163636338746,43.36870095321774,3.1415926535897927,straight
89.32371048218545,42.63129904682518,43.36870095321774,3.1415926535897927,straight
97.44404779874776,34.51096173026289,43.36870095321774,3.1415926535897927,straight
105.56438511531007,26.390624413700607,43.36870095321774,3.1415926535897927,straight
113.68472243187239,18.270287097138326,43.36870095321774,3.1415926535897927,left
121.8050597484347,15.503272726732053,36.601686582854576,4.712388980384692,straight
129.92539706499701,15.503272726732087,28.481349266292295,4.712388980384692,straight
138.04573438155933,15.50327272673212,20.361011949730013,4.712388980384692,straight
146.16607169812164,15.503272726732154,12.240674633167712,4.712388980384692,straight
154.28640901468395,15.503272726732188,4.120337316605395,4.712388980384692,straight
162.40674633124627,15.503272726732222,-3.9999999999569167,4.712388980384692,
